country,weight,ai_heard,ai_cncexc,aireg_us,aireg_china,aireg_eu,aireg_country
2,0.624749880710902,2,3,3,3,1,1
2,2.41844017019498,1,3,8,8,8,8
2,0.559368894073121,1,3,2,3,2,2
2,1.05882911518479,2,3,4,4,1,2
2,0.31014263107127,1,2,4,4,2,2
2,0.828629447345647,2,2,3,4,1,1
2,0.680408783538274,1,1,3,3,1,3
2,1.3348673591579,3,2,2,2,2,2
2,0.646124299477496,1,2,2,3,4,4
2,0.532481347732914,1,3,4,4,4,4
2,1.00740133469763,1,3,2,3,3,2
2,0.828629447345647,2,3,3,4,2,2
2,1.00740133469763,1,3,8,4,1,4
2,0.646124299477496,2,3,4,4,2,2
2,0.421739356433707,2,2,2,4,1,1
2,0.498065903867905,1,1,2,3,1,1
2,1.54627422007809,2,1,2,4,8,2
2,1.00740133469763,1,3,2,1,2,3
2,2.48127239251815,1,3,2,8,2,2
2,1.05882911518479,1,2,4,4,4,4
2,0.318306615096961,2,3,4,8,8,8
2,0.446508029971048,1,3,2,4,4,4
2,1.83088952990802,1,1,4,4,4,4
2,0.648085785528527,1,3,3,2,2,3
2,0.680408783538274,1,1,2,4,2,2
2,1.7057038333766,3,3,3,3,1,2
2,1.3348673591579,2,3,8,8,8,8
2,1.18196415021852,1,3,2,3,2,2
2,0.853472006513672,3,2,4,4,1,1
2,1.18196415021852,2,3,3,4,1,2
2,0.559368894073121,2,3,3,3,1,1
2,0.33622094256313,1,3,2,2,1,2
2,1.61468348543956,2,2,4,3,3,3
2,0.96472078098399,1,3,2,4,2,2
2,1.00740133469763,2,2,2,4,2,2
2,1.21661888534966,2,3,4,4,1,8
2,1.21661888534966,2,3,3,3,1,2
2,0.918239745356946,3,2,8,8,8,8
2,0.471185504561357,2,2,3,4,2,3
2,1.86959342625596,2,2,3,4,1,1
2,1.86959342625596,2,2,4,8,2,2
2,2.48127239251815,1,3,4,3,2,1
2,0.31014263107127,2,3,2,8,2,2
2,1.16643969541774,2,2,2,4,2,2
2,0.366287731732422,2,2,4,4,2,4
2,0.355625958904916,2,3,2,8,2,2
2,0.31014263107127,2,2,2,3,2,2
2,0.75522577406758,2,2,4,4,2,2
2,0.75522577406758,2,3,2,4,2,2
2,1.55306027988541,1,2,3,4,4,4
2,0.572889952356935,2,2,4,4,4,4
2,0.918239745356946,1,2,2,4,3,3
2,1.21661888534966,3,3,2,2,8,3
2,0.572889952356935,2,1,3,3,3,3
2,0.35525298878815,1,3,4,4,4,8
2,0.759048754738422,1,2,2,8,8,8
2,0.91816125438319,2,2,3,4,8,2
2,1.80225651672684,3,2,3,2,2,3
2,0.812634475683496,1,1,1,2,1,2
2,1.43604415794036,2,2,3,4,2,2
2,1.11876495532303,2,3,2,4,3,2
2,1.36013185726819,2,3,3,3,2,2
2,0.485311787200331,2,2,4,4,2,2
2,0.891906818861082,1,2,4,3,2,2
